Frame,Time,1_pos_X,1_pos_Y,1_pos_Z,2_pos_X,2_pos_Y,2_pos_Z,3_pos_X,3_pos_Y,3_pos_Z,4_pos_X,4_pos_Y,4_pos_Z,C_pos_X,C_pos_Y,C_pos_Z
444,4.43,238.67,152.228,143.399,236.97,302.51,134.042,385.278,303.538,121.379,385.765,154.581,133.201,316.811,227.577,152.623
445,4.44,239.85,154.162,147.326,238.113,304.555,138.066,386.421,305.355,125.56,387.276,156.745,137.588,317.825,229.578,156.621
446,4.45,240.991,156.442,151.318,239.376,306.586,141.845,387.557,307.547,129.784,388.473,159.017,141.728,319.023,231.687,160.713
447,4.46,242.283,158.554,155.321,240.694,308.913,145.912,388.896,309.807,134.021,389.755,161.045,146.077,320.246,233.957,164.701
448,4.47,243.42,160.607,158.862,241.927,311.245,149.542,390.441,312.072,138.408,390.896,163.177,149.897,321.485,235.959,168.666
449,4.48,244.95,162.949,162.726,243.262,313.361,153.373,391.642,314.288,142.423,392.413,165.645,154.199,322.667,238.295,172.657
450,4.49,246.221,165.043,166.054,244.61,315.752,157.076,392.958,316.632,146.547,393.744,167.9,158.052,324.1,240.622,176.557
451,4.5,247.565,167.472,169.44,246.047,318.044,160.839,394.369,319.031,150.972,395.02,170.256,161.827,325.25,242.577,180.183
452,4.51,249.139,169.701,172.835,247.522,320.648,164.798,395.88,321.198,154.964,396.524,172.495,165.681,326.15,244.797,183.856
453,4.52,250.45,172.25,176.35,249.013,323.071,168.426,397.368,323.694,158.865,397.943,174.92,169.276,327.493,247.13,187.48
454,4.53,251.962,174.577,179.335,250.435,325.479,172.025,398.773,326.237,162.755,399.458,177.471,172.893,328.315,249.449,190.617
455,4.54,253.233,177.289,182.722,251.851,327.972,175.687,400.292,328.797,166.431,400.893,179.863,176.295,330.028,251.894,194.402
456,4.55,254.905,179.902,186.075,253.401,330.528,178.971,401.845,331.295,170.23,402.362,182.516,179.616,331.557,254.598,197.772
457,4.56,256.248,182.601,189.255,254.993,333.245,182.678,403.556,333.95,173.852,403.807,184.959,183.049,333.622,257.172,201.53
458,4.57,257.858,185.179,192.181,256.71,335.965,186.082,405.108,336.357,177.286,405.493,187.822,186.494,335.153,259.689,204.968
459,4.58,259.331,187.979,195.375,258.422,338.735,189.361,406.492,339.147,180.659,406.951,190.33,189.516,337.25,262.721,208.39
460,4.59,260.886,190.779,198.594,260.089,341.502,192.86,408.363,341.776,183.993,408.426,193.005,192.676,338.658,265.247,211.389
461,4.6,262.636,193.553,201.682,261.812,344.335,196.034,410.152,344.526,187.245,410.107,195.598,195.705,340.31,268.056,214.611
462,4.61,264.196,196.314,204.903,263.237,346.84,199.043,411.876,347.379,190.389,411.708,198.451,198.68,342.281,270.984,217.73
463,4.62,265.807,199.075,207.598,265.01,349.681,202.088,413.695,350.112,193.416,413.377,201.135,201.325,343.936,273.756,220.788
464,4.63,267.456,202.259,210.717,266.81,352.593,205.166,415.451,352.974,196.286,415.133,204.109,204.317,345.771,276.864,223.665
465,4.64,269.154,205.028,213.696,268.661,355.626,208.395,417.21,355.784,198.701,416.796,206.875,207.008,347.543,279.598,226.334
466,4.65,270.762,208.124,216.538,270.565,358.664,211.238,418.885,358.723,201.402,418.525,209.85,209.667,349.336,282.46,229.234
467,4.66,272.685,210.93,219.232,272.302,361.419,213.862,420.969,361.507,204.017,420.286,212.642,212.052,351.119,285.317,231.84
468,4.67,274.544,214.244,222.081,274.168,364.484,216.568,422.758,364.426,206.333,422.025,215.544,214.535,352.972,288.306,234.354
