NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:33
DATA_INCLUDED	Velocity
DATA_TYPES	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z

Frame	Time	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z	
430	4.29000	37.654	105.698	400.032	36.117	106.653	361.240	39.486	103.746	352.184	54.120	114.941	379.035	35.649	107.469	394.409
431	4.30000	29.289	104.487	412.980	32.157	135.778	378.496	39.130	119.375	366.834	53.292	121.769	396.992	54.225	116.454	400.494
432	4.31000	39.608	117.656	423.029	26.122	134.437	399.144	46.114	129.817	363.240	50.140	120.483	397.287	54.598	107.306	394.835
433	4.32000	45.943	125.291	429.510	56.059	128.488	399.130	57.730	141.933	381.258	50.502	125.324	401.689	60.859	121.143	402.196
434	4.33000	48.038	126.642	415.404	60.639	139.726	413.480	62.252	140.184	395.229	54.410	135.657	408.652	69.153	129.329	423.022
435	4.34000	64.196	134.429	421.179	56.282	158.544	413.356	64.790	145.029	397.269	64.777	138.794	411.713	65.843	137.093	415.855
436	4.35000	57.969	125.983	424.081	59.097	159.929	399.690	78.858	157.534	413.173	75.890	148.122	417.819	74.194	143.381	409.772
437	4.36000	60.125	138.765	420.647	58.229	160.032	410.268	80.548	157.090	412.727	74.948	158.931	415.587	86.163	144.478	414.471
438	4.37000	78.428	153.130	420.336	74.382	161.849	417.852	88.596	164.551	418.895	80.737	166.008	418.048	86.987	154.737	426.345
439	4.38000	82.613	171.754	419.225	84.428	164.477	413.312	91.342	174.848	423.370	89.492	158.640	414.462	96.187	166.482	416.944
440	4.39000	84.518	174.236	419.065	84.381	186.610	423.656	97.681	180.746	423.589	96.144	175.460	419.777	104.335	170.014	421.285
441	4.40000	96.849	172.290	405.986	90.847	189.488	412.184	111.333	183.613	425.967	98.385	185.216	414.129	103.410	172.275	423.599
442	4.41000	101.220	183.577	401.046	98.734	193.546	413.621	112.066	202.088	427.531	101.872	190.633	413.956	104.884	182.336	408.027
443	4.42000	98.390	180.323	395.185	108.937	199.650	429.838	96.176	188.447	419.646	110.103	193.074	422.558	107.223	190.205	406.657
444	4.43000	107.168	192.016	397.539	116.401	193.316	420.486	115.814	192.273	421.605	106.895	193.479	407.269	113.558	195.481	397.571
445	4.44000	120.291	203.782	390.165	113.946	200.489	420.290	135.420	221.815	426.364	110.564	205.502	404.525	116.026	210.717	395.967
446	4.45000	129.039	217.923	392.306	123.746	222.582	423.036	123.936	215.007	424.466	121.025	218.968	404.029	121.668	219.586	399.743
447	4.46000	127.541	232.970	384.850	144.220	226.222	431.177	121.130	208.005	408.471	123.131	213.603	397.632	121.456	208.234	377.189
448	4.47000	128.380	222.400	373.042	137.272	224.060	420.077	132.923	230.000	406.106	121.093	216.886	397.796	133.325	219.746	370.271
449	4.48000	134.137	225.342	376.684	125.850	227.995	406.971	142.396	236.133	407.747	130.729	233.135	394.541	140.053	221.802	359.620
