NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:24:13
DATA_INCLUDED	Position
DATA_TYPES	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z

Frame	Time	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z	
440	4.39000	233.066	295.458	118.019	381.282	295.755	104.538	381.615	147.140	116.288	312.641	220.011	135.889	234.458	144.978	126.794
441	4.40000	233.946	297.043	122.095	382.119	297.618	108.878	382.718	148.858	120.605	313.650	221.895	140.196	235.481	146.606	131.214
442	4.41000	235.003	298.904	126.138	383.099	299.545	112.782	383.841	150.812	124.808	314.609	223.716	144.172	236.526	148.423	135.266
443	4.42000	235.970	300.715	130.116	384.093	301.489	117.151	384.960	152.900	129.156	315.687	225.708	148.475	237.579	150.253	139.374
444	4.43000	236.970	302.510	134.042	385.278	303.538	121.379	385.765	154.581	133.201	316.811	227.577	152.623	238.670	152.228	143.399
445	4.44000	238.113	304.555	138.066	386.421	305.355	125.560	387.276	156.745	137.588	317.825	229.578	156.621	239.850	154.162	147.326
446	4.45000	239.376	306.586	141.845	387.557	307.547	129.784	388.473	159.017	141.728	319.023	231.687	160.713	240.991	156.442	151.318
447	4.46000	240.694	308.913	145.912	388.896	309.807	134.021	389.755	161.045	146.077	320.246	233.957	164.701	242.283	158.554	155.321
448	4.47000	241.927	311.245	149.542	390.441	312.072	138.408	390.896	163.177	149.897	321.485	235.959	168.666	243.420	160.607	158.862
449	4.48000	243.262	313.361	153.373	391.642	314.288	142.423	392.413	165.645	154.199	322.667	238.295	172.657	244.950	162.949	162.726
450	4.49000	244.610	315.752	157.076	392.958	316.632	146.547	393.744	167.900	158.052	324.100	240.622	176.557	246.221	165.043	166.054
